央卫频道,#genre#
CCTV1,http://171.213.208.180:808/hls/1/index.m3u8
CCTV2,http://171.213.208.180:808/hls/2/index.m3u8
CCTV3,http://171.213.208.180:808/hls/3/index.m3u8
CCTV5,http://171.213.208.180:808/hls/4/index.m3u8
CCTV6,http://171.213.208.180:808/hls/5/index.m3u8
CCTV7,http://171.213.208.180:808/hls/6/index.m3u8
CCTV8,http://171.213.208.180:808/hls/7/index.m3u8
CCTV9,http://171.213.208.180:808/hls/8/index.m3u8
CCTV10,http://171.213.208.180:808/hls/9/index.m3u8
CCTV12,http://171.213.208.180:808/hls/10/index.m3u8
CCTV14,http://171.213.208.180:808/hls/11/index.m3u8
CCTV5+,http://171.213.208.180:808/hls/12/index.m3u8


CCTV1,http://101.228.217.41:9091/hls/1/index.m3u8
CCTV2,http://101.228.217.41:9091/hls/2/index.m3u8
CCTV3,http://101.228.217.41:9091/hls/3/index.m3u8
CCTV4,http://101.228.217.41:9091/hls/4/index.m3u8
CCTV5,http://101.228.217.41:9091/hls/5/index.m3u8
CCTV6,http://101.228.217.41:9091/hls/6/index.m3u8
CCTV7,http://101.228.217.41:9091/hls/7/index.m3u8
CCTV8,http://101.228.217.41:9091/hls/8/index.m3u8
CCTV9,http://101.228.217.41:9091/hls/9/index.m3u8
CCTV10,http://101.228.217.41:9091/hls/10/index.m3u8
CCTV11,http://101.228.217.41:9091/hls/11/index.m3u8
CCTV12,http://101.228.217.41:9091/hls/12/index.m3u8
CCTV13,http://101.228.217.41:9091/hls/13/index.m3u8
CCTV14,http://101.228.217.41:9091/hls/14/index.m3u8
CCTV15,http://101.228.217.41:9091/hls/15/index.m3u8


CCTV6,http://14.153.183.65:8883/bptv/10000100000000050000000003870749.m3u8
江苏卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873461.m3u8
湖南卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873458.m3u8
东方卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873462.m3u8
北京卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003870776.m3u8
浙江卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873464.m3u8
江西卫视,http://14.153.183.65:8883/bptv/10000100000000050000000004796511.m3u8
辽宁卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873468.m3u8
安徽卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873469.m3u8
山东卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873467.m3u8
东南卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873473.m3u8
重庆卫视,http://14.153.183.65:8883/bptv/10000100000000050000000004796458.m3u8
四川卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887274.m3u8
广东卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873459.m3u8
河南卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887270.m3u8
湖北卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873465.m3u8
天津卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873466.m3u8
黑龙江卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873470.m3u8
贵州卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873471.m3u8
河北卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887382.m3u8
山西卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887413.m3u8
陕西卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887404.m3u8
深圳卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003873474.m3u8
内蒙古卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887427.m3u8
广西卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887394.m3u8
青海卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887430.m3u8
云南卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887453.m3u8
宁夏卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887433.m3u8
吉林卫视,http://14.153.183.65:8883/bptv/10000100000000050000000004972569.m3u8
甘肃卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887450.m3u8
海南卫视,http://14.153.183.65:8883/bptv/10000100000000050000000004796877.m3u8
西藏卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887434.m3u8
新疆卫视,http://14.153.183.65:8883/bptv/10000100000000050000000003887448.m3u8
嘉佳卡通,http://14.153.183.65:8883/bptv/10000100000000050000000003887459.m3u8
金鹰卡通,http://14.153.183.65:8883/bptv/10000100000000050000000004796942.m3u8
卡酷卡通,http://14.153.183.65:8883/bptv/10000100000000050000000003904597.m3u8


CCTV6,http://219.143.140.111:9990/bptv/10000100000000050000000003870749.m3u8
江苏卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003873461.m3u8
湖南卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003873458.m3u8
东方卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003873462.m3u8
北京卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003870776.m3u8
浙江卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003873464.m3u8
江西卫视,http://219.143.140.111:9990/bptv/10000100000000050000000004796511.m3u8
辽宁卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003873468.m3u8
安徽卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003873469.m3u8
山东卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003873467.m3u8
东南卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003873473.m3u8
重庆卫视,http://219.143.140.111:9990/bptv/10000100000000050000000004796458.m3u8
